master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,127,2.0,317.90999999999997,3,1,2,31,about_to_sleep,"[ERKEK, COCUK, KADIN]"
0053a6ea-ad0a-11e9-a2fc-000d3a38a36f,118,3.0,394.49,3,2,2,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
00f6c98e-abb5-11e9-a2fc-000d3a38a36f,164,12.0,2199.8,2,5,5,25,cant_loose,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
00f7553c-5bbb-11ea-b88d-000d3a38a36f,175,12.0,1754.27,2,5,5,25,cant_loose,[ERKEK]
00fa3c44-748c-11eb-8577-000d3a38a36f,8,2.0,229.96,5,1,1,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
01024718-52fa-11ea-9ade-000d3a38a36f,25,2.0,551.14,5,1,3,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
01025f80-1193-11ea-846f-000d3a38a36f,28,2.0,192.49,5,1,1,51,new_customers,"[AKTIFCOCUK, ERKEK]"
017bd900-a97e-11e9-a2fc-000d3a38a36f,251,8.0,699.9,1,5,4,15,cant_loose,"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]"
019cde54-1e25-11ea-8bf2-000d3a38a36f,130,3.0,169.97,3,2,1,32,about_to_sleep,[ERKEK]
01defd1e-a582-11e9-a2fc-000d3a38a36f,245,8.0,1497.5,1,5,5,15,cant_loose,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
0242b9e6-9d88-11e9-9897-000d3a38a36f,93,2.0,230.87,3,1,1,31,about_to_sleep,"[COCUK, KADIN]"
02a59d28-aa20-11e9-a2fc-000d3a38a36f,363,9.0,756.84,1,5,4,15,cant_loose,"[ERKEK, COCUK]"
02c1681e-d6e9-11e9-93bc-000d3a38a36f,94,2.0,258.48,3,1,1,31,about_to_sleep,"[COCUK, KADIN]"
